"Criteria","Score","Comments"
"Workload_Dist",3,"All members committed. 
workload was evenly divided as per 
graphs/contributors in insights"
"Commits",3,"621"
"Unique_Committers",3,"All members committed as per 
Commits/main"
"Issue_Reports",3,"51"
"Issues_Closed",2,"42"
"Doc_Quality",3,"Github, text"
"Func/Class_Desc",2,"Just DB schema, no class descriptions"
"Tutorials",3,"yes"
"Doc_Storytelling",2,"80%"
"Project_Videos",2,"Yes, but hosted ncsu limited accessibility"
"Version_Control",3,"Git"
"Style_Checkers",3,"config files in GH showing 
this checker's config"
"Code_Formatters",3,"yes"
"Syntax_Checkers",3,"yes"
"Code_Coverage",3,"yes"
"Other_Tools",3,"yes"
"Test_Cases",3,"Yes"
"Routine_Tests",3,"yes"
"CONTRIBUTING_Guide",2,"Yes(not many tips)"
"Issue_Discussions",3,"yes"
"Chat_Channel",3,"sak007/Jobby · Discussions · GitHub"
"Failing_Case_Issues",3,"yes"
"Team_Tool_Usage",3,"yes"
"Repo_Configs",3,"Yes"
"Team_System_Knowledge",1,"no"
"Team_Code_Contrib",1,"no"
"Release_Cycles",1,"2 releases"
"Documentation_Video",3,"7 min32 sec"
"Software_Eval",,""
